ID,dataset,model,noise,noise-args,robust-method,loss-args,eval_loss,eval_accuracy,epochs,batch_size,best-hyperparameters,seed
LNSD-41,breast-cancer,simple-mlp,uniform,0.15,none,[],0.226202786,0.947368443,10,32,"{'num_layers': 3, 'hidden_size_0': 76, 'hidden_size_1': 14, 'hidden_size_2': 33, 'dropout': 0.10369916382442693}",777
LNSD-46,breast-cancer,simple-mlp,uniform,0.2,none,[],0.2339217067,0.9210526347,10,32,"{'num_layers': 3, 'hidden_size_0': 75, 'hidden_size_1': 80, 'hidden_size_2': 128, 'dropout': 0.0213509413153659}",777
LNSD-51,breast-cancer,simple-mlp,uniform,0.25,none,[],0.4102443457,0.9122806787,10,32,"{'num_layers': 3, 'hidden_size_0': 8, 'hidden_size_1': 39, 'hidden_size_2': 35, 'dropout': 0.07912580015590634}",777
LNSD-56,breast-cancer,simple-mlp,uniform,0.3,none,[],0.4608090818,0.8684210777,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-76,diabetes,simple-mlp,uniform,0,backward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.1509958208,0.9519230723,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-80,diabetes,simple-mlp,uniform,0.05,backward,"[[[0.95, 0.05], [0.05, 0.95]]]",-0.02719505318,0.9326922894,10,32,"{'num_layers': 2, 'hidden_size_0': 46, 'hidden_size_1': 125, 'dropout': 0.1288051932893706}",777
LNSD-85,diabetes,simple-mlp,uniform,0.1,backward,"[[[0.9, 0.1], [0.1, 0.9]]]",-0.2456036508,0.913461566,10,32,"{'num_layers': 2, 'hidden_size_0': 26, 'hidden_size_1': 72, 'dropout': 0.04273812432834968}",777
LNSD-89,diabetes,simple-mlp,uniform,0.15,backward,"[[[0.85, 0.15], [0.15, 0.85]]]",-0.3517960012,0.913461566,10,32,"{'num_layers': 3, 'hidden_size_0': 46, 'hidden_size_1': 27, 'hidden_size_2': 23, 'dropout': 0.07552571330963424}",777
LNSD-95,diabetes,simple-mlp,uniform,0.2,backward,"[[[0.8, 0.2], [0.2, 0.8]]]",-1.111133695,0.8653846383,10,32,"{'num_layers': 3, 'hidden_size_0': 98, 'hidden_size_1': 55, 'hidden_size_2': 57, 'dropout': 0.044991284667845174}",777
LNSD-100,diabetes,simple-mlp,uniform,0.25,backward,"[[[0.75, 0.25], [0.25, 0.75]]]",-0.9761773348,0.9230769277,10,32,"{'num_layers': 3, 'hidden_size_0': 99, 'hidden_size_1': 43, 'hidden_size_2': 122, 'dropout': 0.08551625441966908}",777
